| Run | StRecall@10 | @20 | alpha_nDCG@10 | @20 |
|---|---|---|---|---|
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.2.lambda-0.5.txt | 0.7367 | 0.8168 | 0.6309 | 0.6596 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.2.lambda-0.6.txt | 0.7243 | 0.8006 | 0.6280 | 0.6581 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.2.lambda-0.7.txt | 0.7246 | 0.8006 | 0.6110 | 0.6412 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.3.lambda-0.5.txt | 0.7299 | 0.8100 | 0.6257 | 0.6540 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.3.lambda-0.6.txt | 0.7306 | 0.8006 | 0.6284 | 0.6569 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.3.lambda-0.7.txt | 0.7205 | 0.7953 | 0.6067 | 0.6384 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.4.lambda-0.5.txt | 0.7145 | 0.7953 | 0.6193 | 0.6506 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.4.lambda-0.6.txt | 0.7306 | 0.7953 | 0.6238 | 0.6509 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.4.lambda-0.7.txt | 0.7075 | 0.7883 | 0.6016 | 0.6349 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.5.lambda-0.5.txt | 0.7116 | 0.7953 | 0.6162 | 0.6483 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.5.lambda-0.6.txt | 0.7097 | 0.7883 | 0.6157 | 0.6465 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.5.lambda-0.7.txt | 0.7218 | 0.7883 | 0.6071 | 0.6351 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.6.lambda-0.5.txt | 0.7203 | 0.7883 | 0.6214 | 0.6493 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.6.lambda-0.6.txt | 0.7110 | 0.7883 | 0.6177 | 0.6467 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.6.lambda-0.7.txt | 0.7218 | 0.7883 | 0.6069 | 0.6344 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.7.lambda-0.5.txt | 0.7189 | 0.7883 | 0.6177 | 0.6467 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.7.lambda-0.6.txt | 0.7097 | 0.7883 | 0.6143 | 0.6460 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k100-binary.alpha-0.7.lambda-0.7.txt | 0.7218 | 0.7802 | 0.6071 | 0.6321 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.2.lambda-0.5.txt | 0.7097 | 0.8223 | 0.6428 | 0.6787 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.2.lambda-0.6.txt | 0.7044 | 0.8107 | 0.6335 | 0.6688 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.2.lambda-0.7.txt | 0.7291 | 0.8041 | 0.6286 | 0.6579 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.3.lambda-0.5.txt | 0.7239 | 0.8107 | 0.6421 | 0.6717 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.3.lambda-0.6.txt | 0.7328 | 0.8025 | 0.6396 | 0.6677 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.3.lambda-0.7.txt | 0.7291 | 0.7948 | 0.6249 | 0.6518 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.4.lambda-0.5.txt | 0.7239 | 0.8106 | 0.6410 | 0.6706 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.4.lambda-0.6.txt | 0.7223 | 0.7955 | 0.6333 | 0.6611 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.4.lambda-0.7.txt | 0.7291 | 0.7896 | 0.6231 | 0.6507 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.5.lambda-0.5.txt | 0.7160 | 0.7902 | 0.6381 | 0.6634 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.5.lambda-0.6.txt | 0.7223 | 0.7902 | 0.6342 | 0.6611 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.5.lambda-0.7.txt | 0.7198 | 0.7802 | 0.6162 | 0.6442 |
| run.neuclir1.documents.Qwen3-Embedding-0.6B.cckmeans.top20-k50-binary.alpha-0.6.lambda-0.5.txt | 0.7224 | 0.7821 | 0.6389 | 0.6605 |
